qIndigenous,qProvince,qArea,q0,q1,q2,q3,q4,q5_A,q5_B,q6_A,q6_B,q7_A,q7_B,q8_A,q8_B,q9_A,q9_B,q10_A,q10_B,q11_A,q11_B,q12_A,q12_B,q13_A,q13_B,q14_A,q14_B,q15_A,q15_B,q16_A,q16_B,q18_A,q18_B,q19_A,q19_B,q20_A,q20_B,q21_A,q21_B,q22_A,q22_B,q26
Is this from an Indigenous Community?,Province,Area,location,School,Grade,Age,Gender,My overall health and well-being are important to me,My overall health and well-being are important to me,I feel confident making healthy decisions,I feel confident making healthy decisions,Youth teaching youth(peer education) is an effective way to learn about sexual health,Youth teaching youth(peer education) is an effective way to learn about sexual health,Drama is a good way to learn about sexual health,Drama is a good way to learn about sexual health,I feel that I can talk about sexual health openly.,I feel that I can talk about sexual health openly.,I feel knowledgeable about sexual health,I feel knowledgeable about sexual health,I feel knowledgeable about HIV,I feel knowledgeable about HIV,I know how you can get HIV,I know how you can get HIV,I know how to prevent HIV,I know how to prevent HIV,I know why getting tested(for HIV and other STIs) is important.,I know why getting tested(for HIV and other STIs) is important.,I know where to get tested(for HIV and other STIs) in my community,I know where to get tested(for HIV and other STIs) in my community,I consider others' perspectives(e.g. I put myself in other people's shoes),I consider others' perspectives(e.g. I put myself in other people's shoes),"I would support someone who is different from me(e.g. race, religion, gender, sexuality)","I would support someone who is different from me(e.g. race, religion, gender, sexuality)",I would feel comfortable reaching out if I had questions or concerns about my sexual health,I would feel comfortable reaching out if I had questions or concerns about my sexual health,I would feel comfortable reaching out if I had questions or concerns about my mental health,I would feel comfortable reaching out if I had questions or concerns about my mental health,I am interested in learning more about sexual health.,I am interested in learning more about sexual health.,"I am likely to get involved in a social change activity(e.g. a play like this, a community group, etc.).","I am likely to get involved in a social change activity(e.g. a play like this, a community group, etc.).",How much did you enjoy this performance?
No,Ontario,Urban,"Brampton, ON",Central Peel Secondary School,10,15,Female,5,5,5,5,4,5,3,4,1,1,5,5,2,2,5,5,4,4,5,5,1,1,5,5,5,5,2,2,3,4,1,1,1,1,5
No,Ontario,Urban,"Brampton, ON",Central Peel Secondary School,10,14,Female,4,5,5,5,4,5,3,5,2,3,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,3,3,3,3,4,5,1,1,5
No,Ontario,Urban,"Brampton, ON",Central Peel Secondary School,12,14,Female,5,5,5,5,4,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,4,5,4,5,5,5,3,4,4,5,2,3,2,3,5
No,Ontario,Urban,"Brampton, ON",Central Peel Secondary School,11,16,Female,5,5,5,5,5,5,3,4,3,4,4,5,4,5,4,4,4,4,4,5,Missing,Missing,3,4,5,5,3,4,4,4,2,2,4,5,5
No,Ontario,Urban,"Brampton, ON",Central Peel Secondary School,9,19,Male,5,5,5,5,5,5,4,4,5,5,4,4,4,5,5,5,5,5,4,5,3,4,4,5,Missing,4,Missing,4,Missing,4,Missing,4,Missing,4,4
No,Ontario,Urban,"Brampton, ON",Central Peel Secondary School,12,Missing,Male,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
No,Ontario,Urban,"Brampton, ON",Central Peel Secondary School,11,16,Other,4,4,5,5,4,4,3,5,4,4,5,5,3,4,5,5,5,5,5,5,4,4,4,4,5,5,4,4,3,4,2,3,3,4,5
No,Ontario,Urban,"Brampton, ON",Central Peel Secondary School,11,16,Male,5,Missing,5,Missing,3,4,5,5,3,3,4,4,2,3,5,5,5,5,5,5,4,4,2,2,3,3,5,5,3,2,4,4,2,2,5
No,Ontario,Urban,"Brampton, ON",Central Peel Secondary School,12,15,Female,4,4,4,5,2,3,3,4,2,5,5,5,3,5,5,5,2,3,4,4,5,5,2,3,5,5,1,1,1,1,2,2,1,1,4
